"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","test_user_login","tests.login","2026-06-18","passed","2026-06-18","","test_user_login","",""
"","12437","test_drawing_checker_veeco_play","tests.plays","2026-06-18","passed","2026-06-18","","test_drawing_checker_veeco_play","",""
"","6739","test_drawing_checker_both_play","tests.plays","2026-06-18","passed","2026-06-18","","test_drawing_checker_both_play","",""
"","1707","test_create_admin","tests.user_management","2026-06-18","passed","2026-06-18","","test_create_admin","",""
"","58","test_edit_details","tests.project","2026-06-18","passed","2026-06-18","","test_edit_space_details","",""
"","1130","test_create_root_space","tests.workspace","2026-06-18","passed","2026-06-18","","test_create_root_space","",""
"","13402","test_drawing_checker_general_play","tests.plays","2026-06-18","passed","2026-06-18","","test_drawing_checker_general_play","",""
"","13110","test_create_project","tests.project","2026-06-18","passed","2026-06-18","","test_create_project","",""
"","5240","test_drawing_atlas_play","tests.plays","2026-06-18","passed","2026-06-18","","test_drawing_atlas_play","",""
"","7","test_admin_login","tests.login","2026-06-18","passed","2026-06-18","","test_admin_login","",""
"","124707","test_design_review_play","tests.plays","2026-06-18","passed","2026-06-18","","test_design_review_play","",""
"","9540","test_duplicate_systemadmin_creation","tests.user_management","2026-06-18","passed","2026-06-18","","test_duplicate_systemadmin_creation","",""
"","1275","test_delete_root_space","tests.workspace","2026-06-18","passed","2026-06-18","","test_delete_root_space","",""
"","0","test_drawing_intelligence","tests.user_management","2026-06-18","broken","2026-06-18","","test_drawing_intelligence","",""
"","19860","test_filter_labels","tests.files","2026-06-18","passed","2026-06-18","","test_filter_labels","",""
"","14","test_logout","tests.login","2026-06-18","passed","2026-06-18","","test_logout","",""
"","3162","test_export_classification_to_excel","tests.reports","2026-06-18","passed","2026-06-18","","test_export_classification_to_excel","",""
"","7440","test_create_new_project","tests.project","2026-06-18","passed","2026-06-18","","test_create_new_project","",""
"","6662","test_duplicate_user_creation","tests.user_management","2026-06-18","passed","2026-06-18","","test_duplicate_user_creation","",""
"","3067","test_add_sub_space","tests.workspace","2026-06-18","passed","2026-06-18","","test_create_sub_space","",""
"","9066","test_duplicate_admin_creation","tests.user_management","2026-06-18","passed","2026-06-18","","test_duplicate_admin_creation","",""
"","3","test_download_logs","tests.files","2026-06-18","passed","2026-06-18","","test_download_logs","",""
"","15194","test_drawing_checker_v2_play","tests.plays","2026-06-18","passed","2026-06-18","","test_drawing_checker_v2_play","",""
"","563","test_weight_estimation_play","tests.plays","2026-06-18","passed","2026-06-18","","test_weight_estimation_play","",""
"","1237","test_select_deselect_all_files","tests.files","2026-06-18","passed","2026-06-18","","test_select_deselect_all_files","",""
"","1696","test_create_user","tests.user_management","2026-06-18","passed","2026-06-18","","test_create_user","",""
"","2122","test_admin_invalid_login","tests.login","2026-06-18","passed","2026-06-18","","test_admin_invalid_login","",""
"","1644","test_system_admin_invalid_login","tests.login","2026-06-18","passed","2026-06-18","","test_systemadmin_invalid_login","",""
"","1800","test_cost_reduction_play","tests.plays","2026-06-18","passed","2026-06-18","","test_cost_reduction_play","",""
"","5157","test_export_credit_history","tests.reports","2026-06-18","passed","2026-06-18","","test_export_credit_history","",""
"","0","test_filter_labels","","2026-06-18","skipped","2026-06-18","","","",""
"","20","test_delete_file","tests.files","2026-06-18","passed","2026-06-18","","test_delete_file","",""
"","8","test_system_admin_login","tests.login","2026-06-18","passed","2026-06-18","","test_systemadmin_login","",""
"","54","test_upload_new_file","tests.project","2026-06-18","passed","2026-06-18","","test_upload_new_file","",""
"","44274","test_available_plays_enable_disable","tests.plays","2026-06-18","passed","2026-06-18","","test_available_plays","",""
"","139132","test_tariff_analysis_play","tests.plays","2026-06-18","passed","2026-06-18","","test_tariff_analysis_play","",""
"","2138","test_user_invalid_login","tests.login","2026-06-18","passed","2026-06-18","","test_user_invalid_login","",""
"","1089","test_search_file","tests.project","2026-06-18","passed","2026-06-18","","test_search_file","",""
"","19","test_delete_project","tests.project","2026-06-18","passed","2026-06-18","","test_delete_project","",""
"","9002","test_add_new_project","tests.project","2026-06-18","passed","2026-06-18","","test_upload_project","",""
"","1631","test_create_systemadmin","tests.user_management","2026-06-18","passed","2026-06-18","","test_create_systemadmin","",""
